통계분류(1),년도,사례수,음식/미식탐방,자연 풍경 감상,쇼핑,역사/문화유적/전통문화체험,패션 유행 등 세련된 현대 문화 체험,여행 가능한 여가시간,유흥/놀이 시설 체험,K-POP/한류스타 관련 공연팬미팅촬영지 등 체험
전체,2015,8817,6.3,26.7,29.2,9,7.6,3.3,2.2,4.2
,2016,8827,7.2,25.2,29.3,8.2,8.1,2.6,1.8,4.1
,2017,8983,10.5,19.9,28.3,8,7.3,3.5,2.3,5.7
,2018,0,30.3,9.8,23.6,4.1,1.9,0,1.2,4.2
,2019,0,33.4,11.8,22.4,6.8,3.4,0,1.3,6
