,서울,경기,인천,강원,대전,충북,충남,세종,경북,경남,대구,울산,부산,광주,전북,전남,제주,기타
2015,78.7,13.3,6.8,6.4,1.2,0.6,1.3,0.2,2.5,3.2,1.6,1,10.3,0.8,1.7,1.8,18.3,0.1
2016,78,13.1,5,6.4,1,0.4,1,0.2,2,1.9,1.2,0.6,10.4,0.5,1.3,0.9,20.2,0
2017,78.8,15.6,10,6.8,1.7,0.9,1.3,0.4,2.6,2.2,2.5,1.4,15.1,1.2,1.5,0.7,10.8,0.2
2018,79.4,14.9,8.3,9.7,1.7,0.9,1.4,0.4,2.8,2.3,3.1,1.2,14.7,1.1,1.1,0.7,8.5,0
2019,76.4,14.9,8,7.8,1.5,1.1,1.4,0.4,3.1,1.7,3.5,1,14.1,1.1,1.7,0.8,9.9,0
